action_id,timestamp,action_type,status,from_account,to_account,amount,currency,description,executed_by,notes
ACT0000001,2026-05-20T00:35:48.183002,TRANSFER,EXECUTED,ACC003,ACC001,0.01,KZT,,Пользователь,Успешно выполнено
ACT0000002,2026-05-20T20:36:31.523044,TRANSFER,EXECUTED,ACC001,DEPOSIT_ACCOUNT,162361.36,KZT,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000003,2026-05-20T20:36:31.555192,TRANSFER,EXECUTED,ACC002,DEPOSIT_ACCOUNT,114683.99,GBP,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000004,2026-05-20T20:36:31.586886,TRANSFER,EXECUTED,ACC003,DEPOSIT_ACCOUNT,171450.24,KZT,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000005,2026-05-20T20:36:31.621811,TRANSFER,EXECUTED,ACC004,DEPOSIT_ACCOUNT,799596.71,KZT,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000006,2026-05-20T20:36:31.652720,TRANSFER,EXECUTED,ACC005,DEPOSIT_ACCOUNT,122084.1,GBP,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000007,2026-05-20T20:36:31.680893,TRANSFER,EXECUTED,ACC006,DEPOSIT_ACCOUNT,180462.11,GBP,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000008,2026-05-20T20:36:31.707616,TRANSFER,EXECUTED,ACC007,DEPOSIT_ACCOUNT,215557.16,EUR,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000009,2026-05-20T20:36:31.735010,TRANSFER,EXECUTED,ACC008,DEPOSIT_ACCOUNT,166609.23,USD,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000010,2026-05-20T20:36:31.761706,TRANSFER,EXECUTED,ACC009,DEPOSIT_ACCOUNT,302033.73,KZT,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000011,2026-05-20T20:36:31.788740,TRANSFER,EXECUTED,ACC010,DEPOSIT_ACCOUNT,583222.75,USD,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000012,2026-05-20T20:36:31.816363,TRANSFER,EXECUTED,ACC011,DEPOSIT_ACCOUNT,163367.32,GBP,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000013,2026-05-20T20:36:31.844005,TRANSFER,EXECUTED,ACC012,DEPOSIT_ACCOUNT,73812.02,EUR,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000014,2026-05-20T20:36:31.870928,TRANSFER,EXECUTED,ACC013,DEPOSIT_ACCOUNT,680918.17,GBP,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000015,2026-05-20T20:36:31.898285,TRANSFER,EXECUTED,ACC014,DEPOSIT_ACCOUNT,18703.66,EUR,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000016,2026-05-20T20:36:31.926201,TRANSFER,EXECUTED,ACC015,DEPOSIT_ACCOUNT,46632.84,USD,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000017,2026-05-20T20:36:31.954739,TRANSFER,EXECUTED,ACC016,DEPOSIT_ACCOUNT,170760.15,USD,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000018,2026-05-20T20:36:31.983899,TRANSFER,EXECUTED,ACC017,DEPOSIT_ACCOUNT,45452.22,EUR,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000019,2026-05-20T20:36:32.012539,TRANSFER,EXECUTED,ACC018,DEPOSIT_ACCOUNT,120273.15,USD,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000020,2026-05-20T20:36:32.039965,TRANSFER,EXECUTED,ACC019,DEPOSIT_ACCOUNT,125871.79,GBP,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000021,2026-05-20T20:36:32.068665,TRANSFER,EXECUTED,ACC020,DEPOSIT_ACCOUNT,26409.45,KZT,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000022,2026-05-20T20:36:32.095399,RESERVE,RESERVED,ACC006,RESERVED_POOL,189868.88,KZT,Резерв для платежа PAY00142,Automation Center,Средства зарезервированы
ACT0000023,2026-05-20T20:36:32.117834,RESERVE,RESERVED,ACC002,RESERVED_POOL,76879.82,GBP,Резерв для платежа PAY00017,Automation Center,Средства зарезервированы
ACT0000024,2026-05-20T20:36:32.138981,RESERVE,RESERVED,ACC006,RESERVED_POOL,100874.34,GBP,Резерв для платежа PAY00366,Automation Center,Средства зарезервированы
ACT0000025,2026-05-20T20:36:32.160050,RESERVE,RESERVED,ACC016,RESERVED_POOL,284994.3,USD,Резерв для платежа PAY00463,Automation Center,Средства зарезервированы
ACT0000026,2026-05-20T20:36:32.181990,RESERVE,RESERVED,ACC019,RESERVED_POOL,144784.25,USD,Резерв для платежа PAY00002,Automation Center,Средства зарезервированы
ACT0000027,2026-05-20T20:36:32.203336,RESERVE,RESERVED,ACC005,RESERVED_POOL,63173.92,USD,Резерв для платежа PAY00139,Automation Center,Средства зарезервированы
ACT0000028,2026-05-20T20:36:32.229382,RESERVE,RESERVED,ACC004,RESERVED_POOL,176094.23,USD,Резерв для платежа PAY00277,Automation Center,Средства зарезервированы
ACT0000029,2026-05-20T20:36:32.254821,RESERVE,RESERVED,ACC008,RESERVED_POOL,347629.3,GBP,Резерв для платежа PAY00162,Automation Center,Средства зарезервированы
ACT0000030,2026-05-20T20:36:32.275920,RESERVE,RESERVED,ACC004,RESERVED_POOL,364712.4,KZT,Резерв для платежа PAY00126,Automation Center,Средства зарезервированы
ACT0000031,2026-05-20T20:36:32.297513,RESERVE,RESERVED,ACC011,RESERVED_POOL,251690.19,KZT,Резерв для платежа PAY00015,Automation Center,Средства зарезервированы
ACT0000032,2026-05-20T20:36:32.319713,RESERVE,RESERVED,ACC010,RESERVED_POOL,96594.02,EUR,Резерв для платежа PAY00362,Automation Center,Средства зарезервированы
ACT0000033,2026-05-20T20:36:32.341381,RESERVE,RESERVED,ACC011,RESERVED_POOL,168400.98,EUR,Резерв для платежа PAY00125,Automation Center,Средства зарезервированы
ACT0000034,2026-05-20T20:36:32.362377,RESERVE,RESERVED,ACC006,RESERVED_POOL,217489.82,GBP,Резерв для платежа PAY00430,Automation Center,Средства зарезервированы
ACT0000035,2026-05-20T20:36:32.386359,RESERVE,RESERVED,ACC017,RESERVED_POOL,84662.53,USD,Резерв для платежа PAY00033,Automation Center,Средства зарезервированы
ACT0000036,2026-05-20T20:36:36.985109,TRANSFER,EXECUTED,ACC001,DEPOSIT_ACCOUNT,48708.41,KZT,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000037,2026-05-20T20:36:37.014461,TRANSFER,EXECUTED,ACC004,DEPOSIT_ACCOUNT,239879.02,KZT,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000038,2026-05-20T20:36:37.053499,TRANSFER,EXECUTED,ACC005,DEPOSIT_ACCOUNT,36625.23,GBP,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000039,2026-05-20T20:36:37.084710,TRANSFER,EXECUTED,ACC006,DEPOSIT_ACCOUNT,54138.64,GBP,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000040,2026-05-20T20:36:37.113853,TRANSFER,EXECUTED,ACC008,DEPOSIT_ACCOUNT,49982.77,USD,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000041,2026-05-20T20:36:37.143162,TRANSFER,EXECUTED,ACC010,DEPOSIT_ACCOUNT,174966.83,USD,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000042,2026-05-20T20:36:37.172409,TRANSFER,EXECUTED,ACC013,DEPOSIT_ACCOUNT,204275.46,GBP,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000043,2026-05-20T20:36:37.216941,TRANSFER,EXECUTED,ACC014,DEPOSIT_ACCOUNT,5611.1,EUR,Избыточная ликвидность,Automation Center,Успешно выполнено
ACT0000044,2026-05-20T20:36:37.244213,RESERVE,RESERVED,ACC006,RESERVED_POOL,189868.88,KZT,Резерв для платежа PAY00142,Automation Center,Средства зарезервированы
ACT0000045,2026-05-20T20:36:37.268288,RESERVE,RESERVED,ACC002,RESERVED_POOL,76879.82,GBP,Резерв для платежа PAY00017,Automation Center,Средства зарезервированы
ACT0000046,2026-05-20T20:36:37.292758,RESERVE,RESERVED,ACC006,RESERVED_POOL,100874.34,GBP,Резерв для платежа PAY00366,Automation Center,Средства зарезервированы
ACT0000047,2026-05-20T20:36:37.322386,RESERVE,RESERVED,ACC016,RESERVED_POOL,284994.3,USD,Резерв для платежа PAY00463,Automation Center,Средства зарезервированы
ACT0000048,2026-05-20T20:36:37.349987,RESERVE,RESERVED,ACC019,RESERVED_POOL,144784.25,USD,Резерв для платежа PAY00002,Automation Center,Средства зарезервированы
ACT0000049,2026-05-20T20:36:37.379798,RESERVE,RESERVED,ACC005,RESERVED_POOL,63173.92,USD,Резерв для платежа PAY00139,Automation Center,Средства зарезервированы
ACT0000050,2026-05-20T20:36:37.412515,RESERVE,RESERVED,ACC004,RESERVED_POOL,176094.23,USD,Резерв для платежа PAY00277,Automation Center,Средства зарезервированы
ACT0000051,2026-05-20T20:36:37.436429,RESERVE,RESERVED,ACC008,RESERVED_POOL,347629.3,GBP,Резерв для платежа PAY00162,Automation Center,Средства зарезервированы
ACT0000052,2026-05-20T20:36:37.459303,RESERVE,RESERVED,ACC004,RESERVED_POOL,364712.4,KZT,Резерв для платежа PAY00126,Automation Center,Средства зарезервированы
ACT0000053,2026-05-20T20:36:37.482405,RESERVE,RESERVED,ACC011,RESERVED_POOL,251690.19,KZT,Резерв для платежа PAY00015,Automation Center,Средства зарезервированы
ACT0000054,2026-05-20T20:36:37.506303,RESERVE,RESERVED,ACC010,RESERVED_POOL,96594.02,EUR,Резерв для платежа PAY00362,Automation Center,Средства зарезервированы
ACT0000055,2026-05-20T20:36:37.534419,RESERVE,RESERVED,ACC011,RESERVED_POOL,168400.98,EUR,Резерв для платежа PAY00125,Automation Center,Средства зарезервированы
ACT0000056,2026-05-20T20:36:37.564017,RESERVE,RESERVED,ACC006,RESERVED_POOL,217489.82,GBP,Резерв для платежа PAY00430,Automation Center,Средства зарезервированы
ACT0000057,2026-05-20T20:36:37.594584,RESERVE,RESERVED,ACC017,RESERVED_POOL,84662.53,USD,Резерв для платежа PAY00033,Automation Center,Средства зарезервированы
ACT0000058,2026-05-20T20:36:43.416643,RESERVE,RESERVED,ACC006,RESERVED_POOL,189868.88,KZT,Резерв для платежа PAY00142,Automation Center,Средства зарезервированы
ACT0000059,2026-05-20T20:36:43.442238,RESERVE,RESERVED,ACC002,RESERVED_POOL,76879.82,GBP,Резерв для платежа PAY00017,Automation Center,Средства зарезервированы
ACT0000060,2026-05-20T20:36:43.464886,RESERVE,RESERVED,ACC006,RESERVED_POOL,100874.34,GBP,Резерв для платежа PAY00366,Automation Center,Средства зарезервированы
ACT0000061,2026-05-20T20:36:43.487588,RESERVE,RESERVED,ACC016,RESERVED_POOL,284994.3,USD,Резерв для платежа PAY00463,Automation Center,Средства зарезервированы
ACT0000062,2026-05-20T20:36:43.510292,RESERVE,RESERVED,ACC019,RESERVED_POOL,144784.25,USD,Резерв для платежа PAY00002,Automation Center,Средства зарезервированы
ACT0000063,2026-05-20T20:36:43.534921,RESERVE,RESERVED,ACC005,RESERVED_POOL,63173.92,USD,Резерв для платежа PAY00139,Automation Center,Средства зарезервированы
ACT0000064,2026-05-20T20:36:43.561997,RESERVE,RESERVED,ACC004,RESERVED_POOL,176094.23,USD,Резерв для платежа PAY00277,Automation Center,Средства зарезервированы
ACT0000065,2026-05-20T20:36:43.585933,RESERVE,RESERVED,ACC008,RESERVED_POOL,347629.3,GBP,Резерв для платежа PAY00162,Automation Center,Средства зарезервированы
ACT0000066,2026-05-20T20:36:43.608111,RESERVE,RESERVED,ACC004,RESERVED_POOL,364712.4,KZT,Резерв для платежа PAY00126,Automation Center,Средства зарезервированы
ACT0000067,2026-05-20T20:36:43.629297,RESERVE,RESERVED,ACC011,RESERVED_POOL,251690.19,KZT,Резерв для платежа PAY00015,Automation Center,Средства зарезервированы
ACT0000068,2026-05-20T20:36:43.651748,RESERVE,RESERVED,ACC010,RESERVED_POOL,96594.02,EUR,Резерв для платежа PAY00362,Automation Center,Средства зарезервированы
ACT0000069,2026-05-20T20:36:43.674151,RESERVE,RESERVED,ACC011,RESERVED_POOL,168400.98,EUR,Резерв для платежа PAY00125,Automation Center,Средства зарезервированы
ACT0000070,2026-05-20T20:36:43.696339,RESERVE,RESERVED,ACC006,RESERVED_POOL,217489.82,GBP,Резерв для платежа PAY00430,Automation Center,Средства зарезервированы
