inflow_id,sent_date,payment_system,amount,currency,expected_arrival_date,actual_delay_days,from_partner,to_account,status
INF00279,2026-05-12,INSTANT,360391.58,EUR,2026-05-12,0,Gutierrez Inc,ACC001,in_transit
INF00070,2026-05-12,INSTANT,53864.06,GBP,2026-05-12,0,"Coleman, Brown and Mccall",ACC013,in_transit
INF00003,2026-05-12,INSTANT,207609.11,KZT,2026-05-12,0,Davis PLC,ACC007,in_transit
INF00198,2026-05-12,INSTANT,124481.7,KZT,2026-05-12,0,Castaneda Ltd,ACC011,in_transit
INF00298,2026-05-12,INSTANT,206122.03,EUR,2026-05-12,0,Arnold-Rose,ACC003,in_transit
INF00160,2026-05-12,INSTANT,42817.92,KZT,2026-05-12,0,"Hayes, Hicks and Hammond",ACC002,delayed
INF00009,2026-05-12,INSTANT,123971.06,EUR,2026-05-12,0,"Williams, Anderson and Johnson",ACC017,in_transit
INF00098,2026-05-12,INSTANT,14085.31,GBP,2026-05-12,0,Guzman Ltd,ACC004,delayed
INF00152,2026-05-12,INSTANT,320863.38,GBP,2026-05-12,0,Kelly-Schultz,ACC019,in_transit
INF00201,2026-05-12,INSTANT,202338.76,USD,2026-05-12,0,Lopez-Brady,ACC016,in_transit
INF00193,2026-05-12,SEPA,125456.14,USD,2026-05-13,1,Gonzales-Anderson,ACC002,arrived
INF00029,2026-05-12,SEPA,354009.64,EUR,2026-05-13,1,Green Ltd,ACC013,in_transit
INF00126,2026-05-13,INSTANT,477091.58,USD,2026-05-13,0,Ortiz Ltd,ACC008,delayed
INF00271,2026-05-13,INSTANT,234786.67,GBP,2026-05-13,0,Henry and Sons,ACC011,delayed
INF00228,2026-05-12,ACH,353167.56,GBP,2026-05-13,1,Parker Group,ACC009,in_transit
INF00106,2026-05-12,ACH,21981.52,USD,2026-05-13,1,"Chang, Williams and Wise",ACC005,arrived
INF00276,2026-05-12,SEPA,78738.95,GBP,2026-05-13,1,Campbell-Bates,ACC013,in_transit
INF00222,2026-05-12,SEPA,233422.2,KZT,2026-05-13,1,Soto-Taylor,ACC019,in_transit
INF00223,2026-05-13,INSTANT,475235.79,EUR,2026-05-13,0,Harris Ltd,ACC009,in_transit
INF00171,2026-05-12,SEPA,267472.18,USD,2026-05-13,1,Smith and Sons,ACC010,in_transit
INF00051,2026-05-13,INSTANT,479301.37,KZT,2026-05-13,0,"Martin, Lambert and Sanchez",ACC010,in_transit
INF00058,2026-05-13,INSTANT,435294.64,EUR,2026-05-13,0,"Gomez, Brown and Thompson",ACC020,in_transit
